FormationDate,ActualFormationDate,Model,SelectionMethod,CorrelationThreshold,WeightingMethod,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,top_n,None,equal,10000000,97134084.73183437,87134084.73183437,8.777072664299169,0.5155352456497662,0.32970034617111926,-0.38955443974310655,1.4490327876722984,1.8910655575491138,1.0442578076893316,0.5600589535740604
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,top_n,None,alpha,10000000,97239639.07806122,87239639.07806122,8.787898987350275,0.5158411255489015,0.3287826745242239,-0.3894484449076602,1.4528474310116997,1.8966100943233857,1.044274810062015,0.5600589535740604
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,top_n,None,alpha_volatility,10000000,86538582.08540815,76538582.08540815,7.70185439945549,0.48367779783497356,0.32200712875627374,-0.3845395450635125,1.4087003886881049,1.8202800692490528,1.0465254601389822,0.5578481945467944
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,top_n,None,inverse_volatility,10000000,86419143.52603057,76419143.52603057,7.689697860499868,0.4832996207720175,0.3229083401903711,-0.38466762209086636,1.4048010352199454,1.815324059037667,1.0496190913706072,0.5571112748710391
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,correlation_filtered,None,equal,10000000,97134084.73183437,87134084.73183437,8.777072664299169,0.5155352456497662,0.32970034617111926,-0.38955443974310655,1.4490327876722984,1.8910655575491138,1.0442578076893316,0.5600589535740604
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,correlation_filtered,None,alpha,10000000,97239639.07806122,87239639.07806122,8.787898987350275,0.5158411255489015,0.3287826745242239,-0.3894484449076602,1.4528474310116997,1.8966100943233857,1.044274810062015,0.5600589535740604
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,correlation_filtered,None,alpha_volatility,10000000,86538582.08540815,76538582.08540815,7.70185439945549,0.48367779783497356,0.32200712875627374,-0.3845395450635125,1.4087003886881049,1.8202800692490528,1.0465254601389822,0.5578481945467944
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,correlation_filtered,None,inverse_volatility,10000000,86419143.52603057,76419143.52603057,7.689697860499868,0.4832996207720175,0.3229083401903711,-0.38466762209086636,1.4048010352199454,1.815324059037667,1.0496190913706072,0.5571112748710391
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,correlation_filtered,0.7,equal,10000000,97134084.73183437,87134084.73183437,8.777072664299169,0.5155352456497662,0.32970034617111926,-0.38955443974310655,1.4490327876722984,1.8910655575491138,1.0442578076893316,0.5600589535740604
2021-01-01T00:00:00.000000,2021-01-01T00:00:00.000000,momentum_12_1,correlation_filtered,0.7,alpha,10000000,97239639.07806122,87239639.07806122,8.787898987350275,0.5158411255489015,0.3287826745242239,-0.3894484449076602,1.4528474310116997,1.8966100943233857,1.044274810062015,0.5600589535740604
