Datetime,PortfolioValue
2026-01-01T00:00:00.000000,10101236.130049106
2026-01-02T00:00:00.000000,10163846.26961425
2026-01-05T00:00:00.000000,10227684.551724162
2026-01-06T00:00:00.000000,10183697.741594158
2026-01-07T00:00:00.000000,10186421.635644315
2026-01-08T00:00:00.000000,9942822.795244578
2026-01-09T00:00:00.000000,9731290.02163409
2026-01-12T00:00:00.000000,9773307.79630955
2026-01-13T00:00:00.000000,9728001.838502347
2026-01-14T00:00:00.000000,9815529.480752785
2026-01-16T00:00:00.000000,9778588.640336584
2026-01-19T00:00:00.000000,9790496.920696275
2026-01-20T00:00:00.000000,9491095.413581893
2026-01-21T00:00:00.000000,9456953.601585623
2026-01-22T00:00:00.000000,9619288.81510204
2026-01-23T00:00:00.000000,9208803.209104903
2026-01-27T00:00:00.000000,9337792.717225531
2026-01-28T00:00:00.000000,9558429.270437604
2026-01-29T00:00:00.000000,9680562.656154452
2026-01-30T00:00:00.000000,9588168.624166477
2026-02-01T00:00:00.000000,9386450.73050664
2026-02-02T00:00:00.000000,9489574.017576927
2026-02-03T00:00:00.000000,9923981.569478799
2026-02-04T00:00:00.000000,10104954.823484037
2026-02-05T00:00:00.000000,10117928.001745932
2026-02-06T00:00:00.000000,10145481.305199195
2026-02-09T00:00:00.000000,10322228.00117265
2026-02-10T00:00:00.000000,10348885.11004551
2026-02-11T00:00:00.000000,10405493.625364982
2026-02-12T00:00:00.000000,10396928.456597023
2026-02-13T00:00:00.000000,10227455.15671634
2026-02-16T00:00:00.000000,10358608.559879337
2026-02-17T00:00:00.000000,10409521.615738768
2026-02-18T00:00:00.000000,10499709.600750796
2026-02-19T00:00:00.000000,10262921.579875091
2026-02-20T00:00:00.000000,10309804.088845246
2026-02-23T00:00:00.000000,10300577.013965951
2026-02-24T00:00:00.000000,10385100.667298455
2026-02-25T00:00:00.000000,10441308.516261702
2026-02-26T00:00:00.000000,10530628.678246604
2026-02-27T00:00:00.000000,10444583.757368602
2026-03-02T00:00:00.000000,10203408.816161722
2026-03-04T00:00:00.000000,9836000.951878961
2026-03-05T00:00:00.000000,10017590.992227102
2026-03-06T00:00:00.000000,9929889.458868103
2026-03-09T00:00:00.000000,9549443.77536088
2026-03-10T00:00:00.000000,9836906.015171101
2026-03-11T00:00:00.000000,9937145.834540425
2026-03-12T00:00:00.000000,9957190.775605384
2026-03-13T00:00:00.000000,9583928.300902769
2026-03-16T00:00:00.000000,9481860.668942353
2026-03-17T00:00:00.000000,9631294.504669428
2026-03-18T00:00:00.000000,9773226.93903013
2026-03-19T00:00:00.000000,9529909.059688296
2026-03-20T00:00:00.000000,9579685.223542482
2026-03-23T00:00:00.000000,9049161.422544442
2026-03-24T00:00:00.000000,9236060.06618296
2026-03-25T00:00:00.000000,9526210.33877028
2026-03-27T00:00:00.000000,9256641.290948413
2026-03-30T00:00:00.000000,9064671.083989572
2026-04-01T00:00:00.000000,9382713.21304584
2026-04-02T00:00:00.000000,9303198.977840334
2026-04-06T00:00:00.000000,9521093.080533722
2026-04-07T00:00:00.000000,9534524.251947477
2026-04-08T00:00:00.000000,10159887.590400131
2026-04-09T00:00:00.000000,10111174.549091388
2026-04-10T00:00:00.000000,10369140.169937257
2026-04-13T00:00:00.000000,10335543.474524051
2026-04-15T00:00:00.000000,10544640.711123355
2026-04-16T00:00:00.000000,10738644.54852199
2026-04-17T00:00:00.000000,10948551.828258418
2026-04-20T00:00:00.000000,10984254.485303633
2026-04-21T00:00:00.000000,11023105.743361909
2026-04-22T00:00:00.000000,11295145.23405983
2026-04-23T00:00:00.000000,11216424.705888528
2026-04-24T00:00:00.000000,11239374.186634006
2026-04-27T00:00:00.000000,11400196.536280133
2026-04-28T00:00:00.000000,11433287.855436666
2026-04-29T00:00:00.000000,11413603.487135999
2026-04-30T00:00:00.000000,11186012.07980609
2026-05-04T00:00:00.000000,11357911.462525409
2026-05-05T00:00:00.000000,11530745.929452032
2026-05-06T00:00:00.000000,11801177.629373219
2026-05-07T00:00:00.000000,11786329.75502503
2026-05-08T00:00:00.000000,11682624.752908632
2026-05-11T00:00:00.000000,11527687.88361069
2026-05-12T00:00:00.000000,11127844.56870485
2026-05-13T00:00:00.000000,11467726.066804554
2026-05-14T00:00:00.000000,11535064.115261048
2026-05-15T00:00:00.000000,11375778.10667577
2026-05-18T00:00:00.000000,11267613.692265607
2026-05-19T00:00:00.000000,11401703.458642267
2026-05-20T00:00:00.000000,11405581.267580677
2026-05-21T00:00:00.000000,11445112.894919626
2026-05-22T00:00:00.000000,11562252.061071653
2026-05-25T00:00:00.000000,11736011.569783295
2026-05-26T00:00:00.000000,12023193.9769928
2026-05-27T00:00:00.000000,12497667.970338989
2026-05-29T00:00:00.000000,12475606.196026104
2026-06-01T00:00:00.000000,12355795.29056013
2026-06-02T00:00:00.000000,12327677.254368622
2026-06-03T00:00:00.000000,12271821.5476319
2026-06-04T00:00:00.000000,12379567.293778256
2026-06-05T00:00:00.000000,12392997.127642209
2026-06-08T00:00:00.000000,12096101.522899963
2026-06-09T00:00:00.000000,12268591.74304581
2026-06-10T00:00:00.000000,11957623.093090754
2026-06-11T00:00:00.000000,11866746.301725212
2026-06-12T00:00:00.000000,12132959.458422557
2026-06-15T00:00:00.000000,12195117.46092928
2026-06-16T00:00:00.000000,12238410.935890898
2026-06-17T00:00:00.000000,12361959.387305006
2026-06-18T00:00:00.000000,12490216.86298171
2026-06-19T00:00:00.000000,12484893.82139211
2026-06-22T00:00:00.000000,12510707.3305518
2026-06-23T00:00:00.000000,12282169.17590852
2026-06-24T00:00:00.000000,12259888.858531538
2026-06-25T00:00:00.000000,12282471.536043487
2026-06-29T00:00:00.000000,12285835.15954167
2026-06-30T00:00:00.000000,12262511.12920688
