LookbackDays,FormationDate,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
60,2021-01-01T00:00:00.000000,10000000,70516277.37418617,60516277.37418617,6.06877187724011,0.42849631097365437,0.291203017548149,-0.4071355189595248,1.3945827605446193,1.8109843843468436,0.9786181665648147,0.5659543109801032
60,2021-07-01T00:00:00.000000,10000000,65011485.03298488,55011485.03298488,5.439080990958822,0.4519923321796975,0.30161588180202736,-0.3137462388686283,1.411782649821826,2.071914273332763,0.9794729276691303,0.5635627530364372
60,2022-01-01T00:00:00.000000,10000000,46327740.91403818,36327740.91403818,3.588669488198901,0.4042888064296699,0.2743536375171714,-0.21725521457153418,1.3991035883311804,1.885874040589261,0.9031491875480183,0.5846846846846847
60,2022-07-01T00:00:00.000000,10000000,33992269.31506878,23992269.31506878,2.405327525639952,0.35958061922879003,0.22581974923776385,-0.2806718934031823,1.5008900481584628,1.9970339288974897,0.9431976244954113,0.5780933062880325
60,2023-01-01T00:00:00.000000,10000000,30772421.7409046,20772421.7409046,2.019666723018407,0.3724424448257657,0.32169201102762474,-0.3971525540376708,1.1666482866381285,1.5675576951134382,0.9871908452917809,0.5545243619489559
60,2023-07-01T00:00:00.000000,10000000,26198357.894043855,16198357.894043855,1.5789653424725008,0.3724406381793328,0.35353840229357497,-0.3143406232952185,1.1847607991508808,1.989827276559269,1.0771512562805643,0.5406626506024096
60,2024-01-01T00:00:00.000000,10000000,17323197.040126268,7323197.040126268,0.7234605104767355,0.24418586152787336,0.2882836841988202,-0.2981155526857261,0.9206917786076138,1.174307885376092,0.9501065402517869,0.5521172638436482
60,2024-07-01T00:00:00.000000,10000000,12652917.563103603,2652917.563103603,0.27974212542894716,0.1317360910648937,0.3079560884048133,-0.2861845771146183,0.5648715970139604,0.8707675469235184,1.0242995157967418,0.5173116089613035
60,2025-01-01T00:00:00.000000,10000000,7503077.419750985,-2496922.5802490152,-0.24531987432073932,-0.1721948339228826,0.2788204994738025,-0.395666849282867,-0.555196203378541,-0.7644378358561198,0.869922389456358,0.5109289617486339
90,2021-01-01T00:00:00.000000,10000000,110581121.90301129,100581121.90301129,10.026655733707633,0.5491417733868118,0.3078071137910405,-0.36293960338160214,1.6041827435358675,2.069264326016004,0.9618843774149017,0.5792188651436994
90,2021-07-01T00:00:00.000000,10000000,25765569.803446878,15765569.803446878,1.5919851958857207,0.2101203124528137,0.2694058089405755,-0.3917716595834905,0.8571724966176058,1.11422918926579,0.8869373844990376,0.5659919028340081
90,2022-01-01T00:00:00.000000,10000000,42853010.03848471,32853010.038484707,3.2651046711423097,0.38159066531874997,0.2609295311246388,-0.24316147355073625,1.394565564307296,1.9052861868848359,0.9595628298506552,0.569882777276826
90,2022-07-01T00:00:00.000000,10000000,41746563.05657126,31746563.05657126,3.1667763266901625,0.4301297523917442,0.24572121840733235,-0.2755147332782695,1.6089517113200482,2.0699129933742797,0.9238261422423039,0.5882352941176471
90,2023-01-01T00:00:00.000000,10000000,35273304.31088629,25273304.310886294,2.5201640640136573,0.4340827006067578,0.3254457101820912,-0.3723562533153729,1.2940703135319114,1.8593298603230861,1.1227561261098489,0.5278422273781903
90,2023-07-01T00:00:00.000000,10000000,52649423.35700504,42649423.35700504,4.247010884922881,0.7401008687872734,0.4370117588196708,-0.3072671718426332,1.6299381187621749,3.4913303145407206,1.0660448254982322,0.5806938159879337
90,2024-01-01T00:00:00.000000,10000000,19203704.850996554,9203704.850996554,0.927297599331526,0.3012805105116412,0.2869881227843074,-0.30506347779726817,1.0833692199210114,1.422547406111381,0.9002402852852178,0.5716612377850163
90,2024-07-01T00:00:00.000000,10000000,13407240.30431556,3407240.3043155596,0.349487528361053,0.16227244540930985,0.26809783834834733,-0.35363714346168384,0.7079223721544908,1.0734216218730228,0.9888541377052752,0.5315682281059063
90,2025-01-01T00:00:00.000000,10000000,10426160.520729054,426160.52072905377,0.04760601639657258,0.03171854804794827,0.2860091101467933,-0.2663859622187261,0.25441251798267284,0.3768952989986573,0.9617268771726847,0.5204359673024523
126,2021-01-01T00:00:00.000000,10000000,90851048.8405862,80851048.8405862,8.079084942081694,0.4952037725944023,0.32465342485860266,-0.3531755122422414,1.4250580775490236,1.8011567555668258,0.9761682771568179,0.5725865880619012
126,2021-07-01T00:00:00.000000,10000000,34731250.642386146,24731250.642386146,2.454726177754,0.2817861023433599,0.30036979841532435,-0.5522430241940979,0.9938345837278868,1.2921899662924996,0.9712522371115668,0.5506072874493927
