Datetime,PortfolioValue
2021-01-04T00:00:00.000000,9961618.984456258
2021-01-05T00:00:00.000000,9979420.125500958
2021-01-06T00:00:00.000000,10086858.818448443
2021-01-07T00:00:00.000000,10307158.104276642
2021-01-08T00:00:00.000000,10255901.115854919
2021-01-11T00:00:00.000000,9998975.095235715
2021-01-12T00:00:00.000000,9960552.833270695
2021-01-13T00:00:00.000000,9900363.007565115
2021-01-14T00:00:00.000000,9962436.488390025
2021-01-15T00:00:00.000000,9904828.059749534
2021-01-18T00:00:00.000000,9542811.739919197
2021-01-19T00:00:00.000000,9751158.18069756
2021-01-20T00:00:00.000000,10002706.07654001
2021-01-21T00:00:00.000000,9868989.843596568
2021-01-22T00:00:00.000000,9640017.029844899
2021-01-25T00:00:00.000000,9675430.846812092
2021-01-27T00:00:00.000000,9554823.164689269
2021-01-28T00:00:00.000000,9546782.88012856
2021-01-29T00:00:00.000000,9764411.383860335
2021-02-01T00:00:00.000000,10241147.607517025
2021-02-02T00:00:00.000000,10412929.389845584
2021-02-03T00:00:00.000000,10780083.267897435
2021-02-04T00:00:00.000000,10888100.491506537
2021-02-05T00:00:00.000000,10951017.805163164
2021-02-08T00:00:00.000000,11265886.329044592
2021-02-09T00:00:00.000000,11395157.508626435
2021-02-10T00:00:00.000000,11432170.689523585
2021-02-11T00:00:00.000000,11497456.420710888
2021-02-12T00:00:00.000000,11452568.998298032
2021-02-15T00:00:00.000000,11675670.329825869
2021-02-16T00:00:00.000000,12203929.74244121
2021-02-17T00:00:00.000000,12269026.643585892
2021-02-18T00:00:00.000000,12461585.370709296
2021-02-19T00:00:00.000000,12369657.888021942
2021-02-22T00:00:00.000000,12298800.840769563
2021-02-23T00:00:00.000000,12538576.716887075
2021-02-24T00:00:00.000000,12637840.04883746
2021-02-25T00:00:00.000000,12825418.952298958
2021-02-26T00:00:00.000000,12885728.047472455
2021-03-01T00:00:00.000000,13134936.196056455
2021-03-02T00:00:00.000000,13517354.597999841
2021-03-03T00:00:00.000000,14138883.694410548
2021-03-04T00:00:00.000000,14318668.527046826
2021-03-05T00:00:00.000000,14078302.90496879
2021-03-08T00:00:00.000000,14196335.540375983
2021-03-09T00:00:00.000000,14147053.40383093
2021-03-10T00:00:00.000000,14388621.030057382
2021-03-12T00:00:00.000000,14635240.129304182
2021-03-15T00:00:00.000000,14866005.85955525
2021-03-16T00:00:00.000000,14764850.836613797
2021-03-17T00:00:00.000000,14283419.609967073
2021-03-18T00:00:00.000000,14050726.916801669
2021-03-19T00:00:00.000000,14081040.776748573
2021-03-22T00:00:00.000000,14621526.521910073
2021-03-23T00:00:00.000000,15099888.87009788
2021-03-24T00:00:00.000000,14939951.188302608
2021-03-25T00:00:00.000000,14571991.743282631
2021-03-26T00:00:00.000000,14888442.328752909
2021-03-30T00:00:00.000000,15093171.453592218
2021-03-31T00:00:00.000000,15378440.752817579
2021-04-01T00:00:00.000000,16082807.874933034
2021-04-05T00:00:00.000000,16380899.993926305
2021-04-06T00:00:00.000000,16664920.843783587
2021-04-07T00:00:00.000000,16390191.004481003
2021-04-08T00:00:00.000000,16296700.801808467
2021-04-09T00:00:00.000000,16438084.981730444
2021-04-12T00:00:00.000000,15276127.850695007
2021-04-13T00:00:00.000000,15463598.008614007
2021-04-15T00:00:00.000000,15640695.490597466
2021-04-16T00:00:00.000000,15747330.814057289
2021-04-19T00:00:00.000000,15481500.67010787
2021-04-20T00:00:00.000000,15720235.60907709
2021-04-22T00:00:00.000000,15983827.90306899
2021-04-23T00:00:00.000000,16014617.209539603
2021-04-26T00:00:00.000000,16072916.853501447
2021-04-27T00:00:00.000000,16048908.324595755
2021-04-28T00:00:00.000000,16370410.839600364
2021-04-29T00:00:00.000000,16651360.877310736
2021-04-30T00:00:00.000000,16633032.495717343
2021-05-03T00:00:00.000000,17019554.645892218
