Symbol,Status,Rows,StartDate,EndDate,NullValues,DuplicateDates,InvalidOHLCRows,NonPositivePrices,NonPositiveVolumeRows,LargeSingleDayMoves
SAGILITY,OK,402,2024-11-12T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SAIL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
SAILIFE,OK,378,2024-12-18T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
SARDAEN,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
SBICARD,OK,1559,2020-03-16T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
SBILIFE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SBIN,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SHREECEM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SHRIRAMFIN,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,6
SIEMENS,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SIGNATURE,OK,681,2023-09-27T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
SOLARINDS,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SONACOMS,OK,1242,2021-06-24T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
SRF,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
STARHEALTH,OK,1127,2021-12-10T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SUNPHARMA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SUPREMEIND,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SUZLON,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,6
SWANCORP,OK,1610,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,7
SWIGGY,OK,401,2024-11-13T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
SYNGENE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TATACAP,OK,175,2025-10-13T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TATACHEM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TATACOMM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
TATACONSUM,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TATAELXSI,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
TATAINVEST,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,7
TATAPOWER,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
TATASTEEL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TATATECH,OK,638,2023-11-30T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TCS,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TECHM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
TENNIND,OK,150,2025-11-19T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TIINDIA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
TITAN,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TMCV,OK,155,2025-11-12T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
TMPV,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
TORNTPHARM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
TRENT,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
TRITURBINE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
TVSMOTOR,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
ULTRACEMCO,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
UNIONBANK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
UNITDSPR,OK,1610,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
UPL,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
URBANCO,OK,192,2025-09-17T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
VBL,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
VEDL,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
VMM,OK,378,2024-12-18T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
VOLTAS,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
WAAREEENER,OK,413,2024-10-28T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
WELCORP,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
WHIRLPOOL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
WIPRO,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
WOCKPHARMA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,9
YESBANK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,12
ZENSARTECH,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
ZYDUSLIFE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
