CorrelationThreshold,Symbols,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
0.7,"GPIL, ADANIENT, ATGL, CGPOWER, TATAELXSI, DIXON, AFFLE, PGEL, ADANIGREEN, LAURUSLABS",10000000,85243585.20020096,75243585.20020096,7.541498723244882,0.5372390055709779,0.32774861184795934,-0.3468754697061439,1.4980391002627949,1.8652717308202662,0.9522503922244648,0.5828617623282134
0.75,"GPIL, ADANIENT, ATGL, CGPOWER, TATAELXSI, DIXON, AFFLE, PGEL, ADANIGREEN, LAURUSLABS",10000000,85243585.20020096,75243585.20020096,7.541498723244882,0.5372390055709779,0.32774861184795934,-0.3468754697061439,1.4980391002627949,1.8652717308202662,0.9522503922244648,0.5828617623282134
0.8,"GPIL, ADANIENT, ATGL, CGPOWER, TATAELXSI, DIXON, AFFLE, PGEL, ADANIGREEN, LAURUSLABS",10000000,85243585.20020096,75243585.20020096,7.541498723244882,0.5372390055709779,0.32774861184795934,-0.3468754697061439,1.4980391002627949,1.8652717308202662,0.9522503922244648,0.5828617623282134
0.85,"GPIL, ADANIENT, ATGL, CGPOWER, TATAELXSI, DIXON, AFFLE, PGEL, ADANIGREEN, LAURUSLABS",10000000,85243585.20020096,75243585.20020096,7.541498723244882,0.5372390055709779,0.32774861184795934,-0.3468754697061439,1.4980391002627949,1.8652717308202662,0.9522503922244648,0.5828617623282134
No constraint,"GPIL, ADANIENT, ATGL, CGPOWER, TATAELXSI, DIXON, AFFLE, PGEL, ADANIGREEN, LAURUSLABS",10000000,85243585.20020096,75243585.20020096,7.541498723244882,0.5372390055709779,0.32774861184795934,-0.3468754697061439,1.4980391002627949,1.8652717308202662,0.9522503922244648,0.5828617623282134
