Feature,Momentum3_1,Momentum6_1,Momentum9_1,Momentum12_1,RS21,RS63,RS126,RS252,Trend60_TrendStrength,Trend90_TrendStrength,Trend126_TrendStrength,Trend180_TrendStrength,CloseToMA20,CloseToMA50,CloseToMA100,CloseToMA200,MA20_MA50,MA50_MA200,RSI7,RSI14,RSI21,MACD_Hist,ADX14,DI_Diff,CloseTo52WHigh,CloseTo126DHigh,BreakoutDistance252D_ATR,Vol20,Vol60,Vol126,ATR14_Close,MaxDrawdown252D,VolumeToMA20,VolumeToMA60,VolumeZScore,OBV_Slope,PriceVolumeCorr20
Trend90_TrendStrength,0.8317133134249913,0.701864627512703,0.5696334758544044,0.4404979107174765,0.23470735356367126,0.7193095974644017,0.6410623251124662,0.4342493422933412,0.7949821138366446,1.0,0.8488030691353212,0.627279957089223,0.1662804469663522,0.47279913646111704,0.7934222045127718,0.8065262566337021,0.6302581232172847,0.789510392162236,0.14239965391152948,0.31230912882479234,0.45020616087883064,-0.06059128728958158,0.23405648582182761,0.29933875980391894,0.49409603689735626,0.5021470155654512,0.3121154628909587,0.08118879673921853,0.09636424486809547,0.06581343471158463,0.14817285846984576,0.19366178449916704,-0.032188627361992045,-0.04194489944534674,-0.04110292192602794,0.06576375185778492,0.19138105727930665
Trend126_TrendStrength,0.6688577841010446,0.8863044187582738,0.7105835420915891,0.5681257693949023,0.158805326156249,0.552142004479411,0.753369666990899,0.5101064065496047,0.5816615390199227,0.8488030691353213,1.0,0.8454056225456544,0.12176356315697469,0.34242102616627274,0.6656668331269077,0.8366523172549931,0.45403510165432776,0.9229721688794913,0.0994097547060258,0.22304712606398205,0.33923476239874006,-0.05035591458023405,0.16917634915452975,0.20561509665507238,0.49355426538604164,0.4501258889444541,0.3344509089079552,0.08781613686587021,0.1067315864902298,0.08900263371166024,0.18390860988326307,0.27013928000960075,-0.02381695671007295,-0.04216115744035999,-0.04142124889150709,0.042987362801850136,0.1350853679288037
Trend180_TrendStrength,0.4933004729112016,0.8722305117094068,0.8695695123370928,0.6984157201881318,0.11025023905830372,0.3839797495511183,0.7128848906906784,0.6013300376072878,0.41249223207074764,0.627279957089223,0.8454056225456544,1.0,0.09429134622631585,0.24697805951522625,0.50328983933845,0.8054992753567,0.3187497855521183,0.9449199151099004,0.07279811521918973,0.15743097470385037,0.24374187868548958,-0.03412056621773549,0.10734036317876909,0.13192268342105926,0.45991610439970604,0.3271241314200916,0.3427356447672051,0.09302324337462019,0.1151905480181336,0.11645481969225316,0.2243020224072918,0.31730900569760995,-0.015392096171087494,-0.03380946818353375,-0.032351909986595935,0.028812762040133354,0.0908447092049647
CloseToMA20,0.02704376790050478,0.04396014729103,0.04563301301537166,0.03901070738881175,0.7485569584146683,0.4488462664158597,0.3278856247727081,0.2129815571479785,0.25917523995130304,0.1662804469663522,0.12176356315697469,0.09429134622631587,0.9999999999999999,0.8353903830397129,0.6528459956849537,0.4951445810543587,0.3251815879298767,0.10313556071367465,0.8197220211317156,0.8296527747785377,0.7845089202780969,0.21867019074396754,0.1851737615357674,0.8081464736547114,0.41659943851256276,0.5036909528471929,0.17115408474843546,0.08522006773475238,0.0437630814969998,0.024861813567994887,-0.09052112770694494,0.03520396204528859,0.1400108432691705,0.19457334653974293,0.18301321983431823,0.1722998779771586,0.39653147308670955
CloseToMA50,0.31245808156644833,0.22947236528282655,0.19642809091269553,0.15586176457386816,0.7972872913299124,0.6789194396998747,0.49439497516559083,0.3261139611178936,0.67432539900607,0.47279913646111704,0.3424210261662727,0.24697805951522622,0.8353903830397129,1.0,0.8949308459941614,0.7196614001711663,0.7865597663899042,0.29994079875117513,0.6717723794772574,0.8270492171476995,0.872524211271854,0.1104611328432112,0.31182686446951047,0.8126628304503728,0.5341538120789172,0.6240020677734095,0.260773857924171,0.15249864913903388,0.07730296913580727,0.046504239683084016,0.009686467258949975,0.08425151275708877,0.06242802770064733,0.13428265584368385,0.12781123725080656,0.19335402877434926,0.4621926105352445
CloseToMA100,0.62645880550678,0.5251867713749446,0.4337112178558603,0.3403117612391081,0.6577723347290819,0.819446953484784,0.6704377822974446,0.4491314778049359,0.8221771792308985,0.7934222045127718,0.6656668331269076,0.50328983933845,0.6528459956849536,0.8949308459941615,1.0,0.9023355153559496,0.8049293015470966,0.6209667968161854,0.514219610476122,0.6917966521363855,0.7893402614076991,0.048356614889355054,0.3325044437067844,0.6777363515566629,0.6075762709185273,0.6663439350785128,0.3368371097178489,0.16951785272025172,0.12679840073387438,0.07811386037955431,0.10445822602240672,0.155088918522284,0.02934287615564716,0.07200658872677218,0.06846120855834745,0.15919749803412808,0.39105969051210715
CloseToMA200,0.6322079910301974,0.7730326864617154,0.7227322474808522,0.5778040780997952,0.5096962530584138,0.7323959061456405,0.8047803904348003,0.6075078134422195,0.728591152210391,0.8065262566337021,0.8366523172549931,0.8054992753566999,0.4951445810543587,0.7196614001711663,0.9023355153559495,0.9999999999999999,0.6769832944001691,0.8711616409096231,0.3780024449731803,0.5291426204778132,0.6296673247347125,0.0215815375953909,0.28488347187903235,0.5090525015433528,0.6199068395598561,0.5693236810427371,0.3878755381185869,0.17859064679467151,0.16013027157832851,0.12898624826106633,0.20111188676456168,0.25520363969182286,0.014774055895442412,0.03628454352671295,0.03513127531375838,0.12288799508989473,0.2993260159135531
MA20_MA50,0.5055172362222483,0.3424538444971971,0.2828580953671256,0.22174075976026625,0.5216971182692928,0.6527564382092527,0.4707010908835543,0.31473477864717136,0.8766908628660937,0.6302581232172846,0.45403510165432776,0.3187497855521183,0.3251815879298768,0.7865597663899042,0.8049293015470965,0.6769832944001692,1.0,0.3990395526499219,0.27784547915194396,0.5330258414479021,0.6579388914802488,-0.048091546590741364,0.3063008580323051,0.5287395920109701,0.4665111799616031,0.5282002562041301,0.26595757756144445,0.16377402760345766,0.08084257010617231,0.0488119107780096,0.11052614117407068,0.11444508103255407,-0.045115392452126105,0.01619706836476588,0.01718210612954789,0.14308814250514643,0.37323552541806626
MA50_MA200,0.6586656338865895,0.9081061381875838,0.8585630838577766,0.6872834335924857,0.13546658183922916,0.520114798744942,0.7435168450599933,0.5932034416335256,0.543684674778375,0.789510392162236,0.9229721688794912,0.9449199151099005,0.10313556071367465,0.29994079875117513,0.6209667968161854,0.8711616409096232,0.3990395526499219,0.9999999999999998,0.07784650646595313,0.18450235798370052,0.29359117817754604,-0.04664176070857538,0.1532536479214733,0.16416640380223926,0.5144135872198549,0.38653365344696633,0.37710296698514945,0.12722973333350457,0.16351628195433582,0.14294768125269386,0.25695877206853296,0.3142984990099595,-0.021081936641380788,-0.04135380296465102,-0.040213415061266126,0.039969302467136376,0.11287112633735998
RSI7,0.028654456517153044,0.031579147548965215,0.0291627633520025,0.02631914423586479,0.5298908454079339,0.32550723758798694,0.2283021035881386,0.14505041700871266,0.22595669932326004,0.14239965391152948,0.0994097547060258,0.07279811521918972,0.8197220211317156,0.6717723794772574,0.514219610476122,0.3780024449731803,0.27784547915194396,0.07784650646595312,1.0,0.9358669073759717,0.8540667005405909,0.22804919763964668,0.14852890247729472,0.846366360636714,0.395626034001576,0.4739130531712356,0.18716797943451996,0.025572382041416247,0.0035293421261462176,-0.007274336403928309,-0.10295202754769704,0.06062320855641197,0.1461512265888471,0.17138050102909697,0.17695020273214157,0.11414030376173942,0.38182760039549457
