Datetime,PortfolioValue
2021-01-04T00:00:00.000000,9934884.199696908
2021-01-05T00:00:00.000000,10006606.048714023
2021-01-06T00:00:00.000000,10052969.034004446
2021-01-07T00:00:00.000000,10167831.77630158
2021-01-08T00:00:00.000000,10091146.248543948
2021-01-11T00:00:00.000000,9904235.51960667
2021-01-12T00:00:00.000000,10005949.875954973
2021-01-13T00:00:00.000000,9871747.57786413
2021-01-14T00:00:00.000000,10029692.935887268
2021-01-15T00:00:00.000000,9915027.549350303
2021-01-18T00:00:00.000000,9949912.912030268
2021-01-19T00:00:00.000000,10082378.456040695
2021-01-20T00:00:00.000000,10184407.297439124
2021-01-21T00:00:00.000000,10083881.852998268
2021-01-22T00:00:00.000000,9953855.94403781
2021-01-25T00:00:00.000000,9989586.397837862
2021-01-27T00:00:00.000000,9935766.51942003
2021-01-28T00:00:00.000000,9884153.103797799
2021-01-29T00:00:00.000000,9823768.47202785
2021-02-01T00:00:00.000000,10101141.356914595
2021-02-02T00:00:00.000000,10358792.016725695
2021-02-03T00:00:00.000000,10575223.257188808
2021-02-04T00:00:00.000000,10797589.75445477
2021-02-05T00:00:00.000000,10932578.798459595
2021-02-08T00:00:00.000000,11368425.516721964
2021-02-09T00:00:00.000000,11782331.603021286
2021-02-10T00:00:00.000000,12072250.600515023
2021-02-11T00:00:00.000000,12239462.798797986
2021-02-12T00:00:00.000000,12249381.562264808
2021-02-15T00:00:00.000000,12100656.912257353
2021-02-16T00:00:00.000000,12382662.558385868
2021-02-17T00:00:00.000000,12622257.269053869
2021-02-18T00:00:00.000000,12874188.906796407
2021-02-19T00:00:00.000000,12740173.298222233
2021-02-22T00:00:00.000000,12726700.444749102
2021-02-23T00:00:00.000000,12874240.643250572
2021-02-24T00:00:00.000000,12971117.331587749
2021-02-25T00:00:00.000000,13071975.990956875
2021-02-26T00:00:00.000000,13175487.554916408
2021-03-01T00:00:00.000000,13424453.813508134
2021-03-02T00:00:00.000000,13692734.478444448
2021-03-03T00:00:00.000000,13938359.019287325
2021-03-04T00:00:00.000000,14277864.543712478
2021-03-05T00:00:00.000000,14046023.78391276
2021-03-08T00:00:00.000000,14165529.141581332
2021-03-09T00:00:00.000000,14213787.088243838
2021-03-10T00:00:00.000000,14657706.716532014
2021-03-12T00:00:00.000000,14776202.920668937
2021-03-15T00:00:00.000000,14965331.868811216
2021-03-16T00:00:00.000000,14887162.441866621
2021-03-17T00:00:00.000000,14396070.183321932
2021-03-18T00:00:00.000000,14082546.312072568
2021-03-19T00:00:00.000000,14028730.02484162
2021-03-22T00:00:00.000000,14193214.626460433
2021-03-23T00:00:00.000000,14346721.308093265
2021-03-24T00:00:00.000000,14113365.369909815
2021-03-25T00:00:00.000000,13725872.038494036
2021-03-26T00:00:00.000000,13862439.155010646
2021-03-30T00:00:00.000000,14127525.972821958
2021-03-31T00:00:00.000000,14268104.423347333
2021-04-01T00:00:00.000000,14408302.77227176
2021-04-05T00:00:00.000000,14237103.801232593
2021-04-06T00:00:00.000000,14644043.876914117
2021-04-07T00:00:00.000000,15022632.485219544
2021-04-08T00:00:00.000000,15244412.455859268
2021-04-09T00:00:00.000000,15207913.601471549
2021-04-12T00:00:00.000000,14630482.077099629
